id	category	question	value	distractor1	distractor2	distractor3	audit_status	issues
DV20-001	Checklists	On the AFTER TAKE-OFF checklist (minimum 200 ft AAL), what should you do?	Select flaps UP and set propeller speed to 2400 RPM	Set flaps T/O and reduce to idle power	Retract flaps and turn electric fuel pump OFF	Extend flaps LDG and set MAX RPM		
DV20-002	Checklists	When should the electric fuel pump be switched OFF after takeoff?	Above 1000 ft AAL	3000 ft AGL	700 ft AAL	1000 ft AAL		
DV20-003	Checklists	During the engine run-up, to what RPM is the throttle set with the brakes held?	1700 RPM	1500 RPM	1100 RPM	2400 RPM		
DV20-004	Checklists	If oil pressure is below 1.5 bar after start, what is the maximum delay before shutting down the engine?	10 seconds	5 seconds	15 seconds	30 seconds		
DV20-005	Checklists	On the DOWNWIND checklist, what position should carburetor heat be in?	ON	OFF	T/O	UP		
DV20-006	Checklists	What is the target speed on the BALKED LANDING checklist?	58 kts (Vx)	104 kts	15 kts	64 kts		
DV20-007	Checklists	What is the initial airspeed on the ENGINE FAILURE DURING FLIGHT abnormal checklist?	70 kts	64 kts	59 kts	90 kts		
DV20-008	Checklists	What airspeed does the EMERGENCY LANDING WITH ENGINE OFF checklist specify?	59 kts	70 kts	43 kts	55 kts		
DV20-009	Checklists	In a flap system failure where only the UP position is available, how should the approach speed be adjusted?	Raised by 10 kts	104 kts	15 kts	64 kts		
DV20-010	Checklists	During taxi warm-up, at what RPM is the engine oil warmed to 50 C?	1100–1500 RPM	1700 RPM	2400 RPM ±100 RPM	1100 RPM		
DV20-011	Performance & Limits	What is Vy (best rate of climb) for the DV20?	70 kts	58 kts	65 kts	90 kts		
DV20-012	Performance & Limits	What is Vy (best rate of climb) with flaps in the T/O position?	65 kts	75 kts	58 kts	70 kts		
DV20-013	Performance & Limits	What is Vx (best angle of climb) with flaps T/O?	58 kts	51 kts	65 kts	70 kts		
DV20-014	Performance & Limits	What is the stall speed VS1 (flaps up)?	43 kts	39 kts	58 kts	38 kts		
DV20-015	Performance & Limits	What is VSO (stall speed, flaps down)?	38 kts	43 kts	55 kts	39 kts		
DV20-016	Performance & Limits	What is VFE (maximum speed with flaps extended)?	81 kts	104 kts	117 kts	70 kts		
DV20-017	Performance & Limits	What is VA (maneuvering speed)?	104 kts	117 kts	90 kts	161 kts		
DV20-018	Performance & Limits	What is the maximum demonstrated crosswind component?	15 kts	20 kts	25 kts	10 kts		
DV20-019	Performance & Limits	What is the best glide speed with flaps UP?	70 kts	58 kts	59 kts	64 kts		
DV20-020	Performance & Limits	What is the best glide speed with flaps T/O?	64 kts	70 kts	59 kts	65 kts		
DV20-021	Performance & Limits	What is the maximum takeoff weight for PH-MFT and PH-SKM?	730 kg	495 kg	750 kg	511 kg		
DV20-022	Performance & Limits	What is the usable fuel tank capacity?	77 liters	100 liters	58 liters	79 liters		
DV20-023	Performance & Limits	What is the approximate glide ratio (L/Dmax) of the Katana?	14:1	10:1	7:1	20:1		
DV20-024	Power Settings	What is the standard power setting for straight and level flight?	"25"" MP, 2400 RPM, 90 kts"	"20"" MP"	"±21"" MP, speed 70 kts"	"12–15"" MP"		
DV20-025	Power Settings	What does the power/speed table specify for cruise (flaps UP)?	"±25"" MP, 2400 RPM, 90 kts"	"20"" MP"	"±21"" MP, speed 70 kts"	"12–15"" MP"		
DV20-026	Power Settings	What does the power/speed table specify for descent (flaps UP)?	"±18"" MP, 2400 RPM, 90 kts"	"25"" MP, 2400 RPM, 90 kts"	"15"" MP"	"20"" MP"		
DV20-027	Power Settings	On downwind, after selecting flaps T/O, to what setting is the throttle advanced?	"±24"" MP to maintain 70 kts"	Full throttle until base	"±15"" MP to maintain 70 kts"	"±21"" MP to maintain 75 kts"		
DV20-028	Power Settings	What is the initial throttle (MP) setting when turning base?	"15"" MP"	"±21"" MP, speed 70 kts"	"12–15"" MP"	"25"" MP, 2400 RPM, 90 kts"		
DV20-029	Power Settings	What is the minimum approach speed on final?	60 kts	58 kts	70 kts	55 kts		
DV20-030	Power Settings	Below what power setting (MP) must carburetor heat be ON?	"20"" MP"	"25"" MP"	"15"" MP"	"18"" MP"		
DV20-031	Power Settings	Per the power/speed table, what is the target speed for climb with flaps T/O?	65 kts at full throttle, PSCL full forward	81 kts	104 kts	15 kts		
DV20-032	Power Settings	During descent, approximately how much extra descent rate does each inch of reduced manifold pressure give?	100 ft/min extra descend rate	No change to descend rate	50 ft/min less descend rate	200 ft/min extra descend rate		
DV20-033	Power Settings	When staying in the circuit, what power setting and speed are set at 700 ft AAL?	"±21"" MP, speed 70 kts"	"12–15"" MP"	"25"" MP, 2400 RPM, 90 kts"	"±18"" MP, 2400 RPM, 90 kts"		
DV20-034	Normal Procedures	In the transition from straight and level to climb, at what speed is the throttle advanced to FULL?	70 kts	90 kts	58 kts	65 kts		
DV20-035	Normal Procedures	"When leveling off from a climb, at what airspeed is power reduced to 25""/2400 RPM?"	90 kts	70 kts	65 kts	75 kts		
DV20-036	Normal Procedures	In the transition to descent, what should be done with carburetor heat?	ON before reducing power	MAX RPM, throttle FULL, carburetor heat OFF	"T/O after ""Speed checked"" within white arc"	Right side of runway due to gliders/paras		
DV20-037	Normal Procedures	When leveling off from a descent, at what point is carburetor heat turned OFF?	100 ft before desired altitude	300 ft	200 ft AAL	300 ft AGL		
DV20-038	Normal Procedures	What is the standard bank angle for a level turn?	30°	45°	15°	20°		
DV20-039	Normal Procedures	What is the approximate target speed during a 30 degree level turn?	95 kts	90 kts	104 kts	70 kts		
DV20-040	Normal Procedures	What is the maximum bank angle for a climbing turn?	15°	20°	30°	45°		
DV20-041	Normal Procedures	During a 45 degree steep turn, what should you do when passing 30 degrees of bank?	"Increase power setting by 2"""	Extend flaps T/O	"Decrease power setting by 2"""	Retard throttle to idle		
DV20-042	Normal Procedures	What is the minimum altitude for the steep turn exercise when solo?	2000 ft AGL	700 ft AGL	1500 ft AGL	3000 ft AGL		
DV20-043	Normal Procedures	What method is recommended for reporting traffic during the scanflow?	Clock position combined with above/below/on the horizon	Altitude in feet only	Distance in nautical miles only	Compass heading only		
